button_pressed,time,av,ax,ay,az
1000,2021-04-13 15:32:27 767,1046.5553019310541,538,35,897
1000,2021-04-13 15:32:27 769,1127.7557359641316,546,-39,986
0,2021-04-13 15:32:27 801,1034.4206107768734,499,105,900
0,2021-04-13 15:32:27 851,999.9044954394394,565,70,822
0,2021-04-13 15:32:27 901,986.7532619657256,643,-27,748
0,2021-04-13 15:32:27 951,1065.484866152495,717,-113,780
0,2021-04-13 15:32:27 1001,981.8650620120873,553,-23,811
0,2021-04-13 15:32:27 1085,989.0955464463482,549,-35,822
0,2021-04-13 15:32:27 1101,989.0955464463482,549,-35,822
0,2021-04-13 15:32:27 1151,1065.9990619132832,604,-97,873
0,2021-04-13 15:32:27 1201,1032.3206866085752,585,-31,850
0,2021-04-13 15:32:27 1251,1004.381401659748,553,27,838
0,2021-04-13 15:32:27 1301,1019.7009365495356,557,-15,854
0,2021-04-13 15:32:27 1351,980.9225249733029,507,-54,838
0,2021-04-13 15:32:27 1401,1016.8962582289306,581,31,834
0,2021-04-13 15:32:27 1451,1038.370839344018,542,35,885
0,2021-04-13 15:32:27 1501,1116.1223051261004,631,-152,908
0,2021-04-13 15:32:27 1551,1203.3573866478737,647,-132,1006
0,2021-04-13 15:32:27 1601,1060.2377091954427,538,54,912
0,2021-04-13 15:32:28 1651,962.6370032364224,530,31,803
0,2021-04-13 15:32:28 1701,970.0159792498266,561,23,791
0,2021-04-13 15:32:28 1751,925.4431370970342,510,19,772
0,2021-04-13 15:32:28 1801,1002.000998003495,549,19,838
0,2021-04-13 15:32:28 1851,1156.9295570604115,565,85,1006
0,2021-04-13 15:32:28 1901,1159.7090152275268,604,-3,990
0,2021-04-13 15:32:28 1951,1206.2773312965803,670,-101,998
0,2021-04-13 15:32:28 2001,1146.5888539489645,616,-11,967
0,2021-04-13 15:32:28 2051,972.9259992414634,620,93,744
0,2021-04-13 15:32:28 2101,1108.7014927382393,569,93,947
0,2021-04-13 15:32:28 2151,1179.6122244195335,596,237,990
0,2021-04-13 15:32:28 2201,1011.8567092231982,577,93,826
0,2021-04-13 15:32:28 2251,839.0345642463128,553,-3,631
0,2021-04-13 15:32:28 2301,975.4798819042861,600,-195,744
0,2021-04-13 15:32:28 2351,891.4084361279065,526,-62,717
0,2021-04-13 15:32:28 2401,924.5220386772833,596,-50,705
0,2021-04-13 15:32:28 2451,992.4570519674894,565,-39,815
0,2021-04-13 15:32:28 2502,996.0291160402893,600,-7,795
